date,pim
1918-09-01,3
1918-09-02,7
1918-09-03,5
1918-09-04,1
1918-09-05,3
1918-09-06,4
1918-09-07,4
1918-09-08,5
1918-09-09,1
1918-09-10,4
1918-09-11,4
1918-09-12,4
1918-09-13,6
1918-09-14,4
1918-09-15,5
1918-09-16,7
1918-09-17,8
1918-09-18,11
1918-09-19,7
1918-09-20,11
1918-09-21,12
1918-09-22,14
1918-09-23,26
1918-09-24,30
1918-09-25,45
1918-09-26,52
1918-09-27,64
1918-09-28,79
1918-09-29,105
1918-09-30,132
1918-10-01,185
1918-10-02,220
1918-10-03,289
1918-10-04,358
1918-10-05,447
1918-10-06,475
1918-10-07,567
1918-10-08,644
1918-10-09,708
1918-10-10,768
1918-10-11,803
1918-10-12,769
1918-10-13,662
1918-10-14,602
1918-10-15,614
1918-10-16,541
1918-10-17,527
1918-10-18,426
1918-10-19,392
1918-10-20,353
1918-10-21,295
1918-10-22,236
1918-10-23,245
1918-10-24,201
1918-10-25,174
1918-10-26,148
1918-10-27,123
1918-10-28,93
1918-10-29,90
1918-10-30,79
1918-10-31,67
1918-11-01,50
1918-11-02,40
1918-11-03,43
1918-11-04,28
1918-11-05,37
1918-11-06,29
1918-11-07,22
1918-11-08,34
1918-11-09,18
1918-11-10,24
1918-11-11,22
1918-11-12,13
1918-11-13,24
1918-11-14,10
1918-11-15,18
1918-11-16,13
1918-11-17,14
1918-11-18,12
1918-11-19,13
1918-11-20,13
1918-11-21,12
1918-11-22,13
1918-11-23,9
1918-11-24,13
1918-11-25,12
1918-11-26,21
1918-11-27,14
1918-11-28,17
1918-11-29,10
1918-11-30,13
1918-12-01,8
1918-12-02,23
1918-12-03,20
1918-12-04,14
1918-12-05,16
1918-12-06,16
1918-12-07,16
1918-12-08,21
1918-12-09,12
1918-12-10,19
1918-12-11,21
1918-12-12,17
1918-12-13,19
1918-12-14,14
1918-12-15,10
1918-12-16,20
1918-12-17,14
1918-12-18,26
1918-12-19,21
1918-12-20,19
1918-12-21,20
1918-12-22,15
1918-12-23,26
1918-12-24,24
1918-12-25,19
1918-12-26,15
1918-12-27,23
1918-12-28,10
1918-12-29,15
1918-12-30,18
1918-12-31,30
